Reference Designator,Description,Manufacturer,Manufacturer Part Number,Suppliers,Package,Quantity,Category 85Ce48C4B2B95E09,Digikey Part Number,Mouser Part Number,Verified Manufactured,Capacitance,Ipc Land Pattern Name,Dielectric Material,Equivalent Series Resistance Esr,Digikey Description,Category 4C11811B7D3097D6,Verified Attributes,Category F8883582C9A8234F,Verified Geometry,Temperature Range High,Temperature Range Low,Category 7542B8484461Ae85,Verified Pricing,Verified Pin Names,Imported From,Mounting Type,Verified Pad Assignment,Voltage,Centroid Not Specified,Footprint Parameters 1,Footprint Parameters 3,Temperature Coefficient,Verification Version,Footprint Parameters 2,Mfg Package Ident,Tolerance,Automotive,Material,Footprint Variant Name 3,Footprint Variant Name 2,Footprint Variant Name 1,Footprint Variant Name 0,Mfg Package Ident Rev,Voltage Rating,Temperature Characteristic,Automotive Grade,Conn 0 Type,Height,Conn 1 Type,Mouser Description,Mfg Package Ident Date,Device Class L1,Device Class L3,Device Class L2,Footprint Parameters 0,Temparature Characteristic,Standoff Height,Package Drawing,Is Female,Is Connector,Is Male,Inductance,Resistance,Imported,Conn 10 Type,Conn 3 Type,Component Link 1 Url,Component Link 1 Description,Conn 11 Type,Conn 7 Type,Vault Guid,Conn 5 Type,Ciiva Ids,Vault Revision,Conn 13 Type,Package Version,Release Date,Number Of Outputs,Conn 15 Type,Conn 12 Type,Component Link 3 Description,Import Ts,Conn 6 Type,Package Description,Conn 2 Type,Conn 9 Type,Conn 8 Type,Conn 4 Type,Mounting Technology,Conn 14 Type,Component Link 3 Url,Footprint 0 Description,Kind,Netlist,Footprint 1 Description,Manufacturer Link,Footprint 2 Description,Packagedescription
C1 C2,"10uF, 10%, 35V, Tantalum Capacitor",Kemet,T491C106K035AT,Digi-Key 399-8333-1-ND/Digi-Key 399-8333-6-ND/Digi-Key 399-8333-2-ND/Newark 57K1849/Newark 18K7252,2413 (6032 metric),2,Uncategorized,399-8333-1-ND,80-T491C106K035,false,10.0µF,CAPCP600320X250,Tantalum,1.6 Ω,"10µF Molded Tantalum Capacitors 35V 2413 (6032 Metric) 1.6 Ohm 0.236"" L x 0.126"" W (6.00mm x 3.20mm)",Single Components,true,Capacitors,true,125°C,-55°C,Passive Components,false,true,octopart,surface mount,true,35V,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,C1206 0.22 μF X7R 10.00% 100 V,KEMET,C1206C224K1RACTU,,1206,1,,C1206C224K1RACTU-ND,80-C1206C224K1R,,0.22 μF,CAPC320160X78,,,CAP CER 0.22UF 100V 10% X7R 1206,,true,,true,+150°C,-55°C,,,true,,,true,,No,"{""fp_type"":""chip_res"",""params"":{""L"":{""nom"":3200000,""long name"":""Length"",""min"":3000000,""max"":3400000,""short name"":""L"",""type"":""measurement""},""W"":{""nom"":1600000,""long name"":""Width"",""min"":1400000,""max"":1800000,""short name"":""W"",""type"":""measurement""},""t"":{""nom"":780000,""long name"":""Height"",""min"":680000,""max"":880000,""short name"":""t"",""type"":""measurement""},""b"":{""nom"":500000,""long name"":""Terminal width"",""min"":250000,""max"":750000,""short name"":""b"",""type"":""measurement""},""P"":{""default"":""false"",""long name"":""Polarized"",""type"":""multichoice"",""short name"":""P""},""offset x"":{""nom"":0,""long name"":""X Center offset"",""min"":null,""max"":null,""short name"":""offset x"",""type"":""measurement""},""offset y"":{""nom"":0,""long name"":""Y Center offset"",""min"":null,""max"":null,""short name"":""offset y"",""type"":""measurement""},""LS"":{""long name"":""Land shape"",""type"":""fixed"",""short name"":""LS"",""value"":""Rectangle""},""solder toe"":{""nom"":550000,""long name"":""Solder fillet (toe)"",""min"":null,""max"":null,""short name"":""solder toe"",""type"":""fixedmeasurement""},""solder heel"":{""nom"":0,""long name"":""Solder fillet (heel)"",""min"":null,""max"":null,""short name"":""solder heel"",""type"":""fixedmeasurement""},""solder side"":{""nom"":50000,""long name"":""Solder fillet (side)"",""min"":null,""max"":null,""short name"":""solder side"",""type"":""fixedmeasurement""},""courtyard"":{""nom"":500000,""long name"":""Courtyard"",""min"":null,""max"":null,""short name"":""courtyard"",""type"":""fixedmeasurement""},""SF"":{""default"":""A (>= 1608 metric)"",""long name"":""Packing level"",""type"":""multichoiceparent"",""short name"":""SF"",""help"":""http://support.upverter.com/customer/portal/articles/978783-what-is-a-footprint-packing-level"",""children"":[""solder toe"",""solder heel"",""solder side"",""courtyard""]}}}","{""fp_type"":""chip_res"",""params"":{""L"":{""nom"":3200000,""long name"":""Length"",""min"":3000000,""max"":3400000,""short name"":""L"",""type"":""measurement""},""W"":{""nom"":1600000,""long name"":""Width"",""min"":1400000,""max"":1800000,""short name"":""W"",""type"":""measurement""},""t"":{""nom"":780000,""long name"":""Height"",""min"":680000,""max"":880000,""short name"":""t"",""type"":""measurement""},""b"":{""nom"":500000,""long name"":""Terminal width"",""min"":250000,""max"":750000,""short name"":""b"",""type"":""measurement""},""P"":{""default"":""false"",""long name"":""Polarized"",""type"":""multichoice"",""short name"":""P""},""offset x"":{""nom"":0,""long name"":""X Center offset"",""min"":null,""max"":null,""short name"":""offset x"",""type"":""measurement""},""offset y"":{""nom"":0,""long name"":""Y Center offset"",""min"":null,""max"":null,""short name"":""offset y"",""type"":""measurement""},""LS"":{""long name"":""Land shape"",""type"":""fixed"",""short name"":""LS"",""value"":""Rectangle""},""solder toe"":{""nom"":150000,""long name"":""Solder fillet (toe)"",""min"":null,""max"":null,""short name"":""solder toe"",""type"":""fixedmeasurement""},""solder heel"":{""nom"":0,""long name"":""Solder fillet (heel)"",""min"":null,""max"":null,""short name"":""solder heel"",""type"":""fixedmeasurement""},""solder side"":{""nom"":-50000,""long name"":""Solder fillet (side)"",""min"":null,""max"":null,""short name"":""solder side"",""type"":""fixedmeasurement""},""courtyard"":{""nom"":100000,""long name"":""Courtyard"",""min"":null,""max"":null,""short name"":""courtyard"",""type"":""fixedmeasurement""},""SF"":{""default"":""C (>= 1608 metric)"",""long name"":""Packing level"",""type"":""multichoiceparent"",""short name"":""SF"",""help"":""http://support.upverter.com/customer/portal/articles/978783-what-is-a-footprint-packing-level"",""children"":[""solder toe"",""solder heel"",""solder side"",""courtyard""]}}}",15%,0.0.0.3,"{""fp_type"":""chip_res"",""params"":{""L"":{""nom"":3200000,""long name"":""Length"",""min"":3000000,""max"":3400000,""short name"":""L"",""type"":""measurement""},""W"":{""nom"":1600000,""long name"":""Width"",""min"":1400000,""max"":1800000,""short name"":""W"",""type"":""measurement""},""t"":{""nom"":780000,""long name"":""Height"",""min"":680000,""max"":880000,""short name"":""t"",""type"":""measurement""},""b"":{""nom"":500000,""long name"":""Terminal width"",""min"":250000,""max"":750000,""short name"":""b"",""type"":""measurement""},""P"":{""default"":""false"",""long name"":""Polarized"",""type"":""multichoice"",""short name"":""P""},""offset x"":{""nom"":0,""long name"":""X Center offset"",""min"":null,""max"":null,""short name"":""offset x"",""type"":""measurement""},""offset y"":{""nom"":0,""long name"":""Y Center offset"",""min"":null,""max"":null,""short name"":""offset y"",""type"":""measurement""},""LS"":{""long name"":""Land shape"",""type"":""fixed"",""short name"":""LS"",""value"":""Rectangle""},""solder toe"":{""nom"":350000,""long name"":""Solder fillet (toe)"",""min"":null,""max"":null,""short name"":""solder toe"",""type"":""fixedmeasurement""},""solder heel"":{""nom"":0,""long name"":""Solder fillet (heel)"",""min"":null,""max"":null,""short name"":""solder heel"",""type"":""fixedmeasurement""},""solder side"":{""nom"":0,""long name"":""Solder fillet (side)"",""min"":null,""max"":null,""short name"":""solder side"",""type"":""fixedmeasurement""},""courtyard"":{""nom"":250000,""long name"":""Courtyard"",""min"":null,""max"":null,""short name"":""courtyard"",""type"":""fixedmeasurement""},""SF"":{""default"":""B (>= 1608 metric)"",""long name"":""Packing level"",""type"":""multichoiceparent"",""short name"":""SF"",""help"":""http://support.upverter.com/customer/portal/articles/978783-what-is-a-footprint-packing-level"",""children"":[""solder toe"",""solder heel"",""solder side"",""courtyard""]}}}",C1206C-EB,0.1,Yes,Ceramic,IPC_C,IPC_B,IPC_A,Recommended_Land_Pattern,0,100 V,X7R,Grade 0,passive,0.88mm,passive,Multilayer Ceramic Capacitors MLCC - SMD/SMT 100volts 0.22uF X7R 10%,0,Passive Components,Ceramic Capacitors,Capacitors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,"Ceramic Capacitor, 0.1 uF, 5%, 200 VDC, X8R, GoldMax, Automotive Grade, Lead Spacing = 5.08mm",KEMET,C330C104J2H5TA9170,,RADIAL,1,,399-17279-ND,80-C330C104J2H9170,,0.1uF,,,,CAP CER 0.1UF 200V X8R RADIAL,,true,,true,+150°C,-55°C,,,true,,,true,,No,,,15%,0.0.0.3,,C330C,5%,Yes,Ceramic,,,,Recommended_Land_Pattern,0,200V,X8R,Grade 0,passive,10.66mm,passive,,0,Passive Components,Ceramic Capacitors,Capacitors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5,CAP SMD 2.2nF 5% C0G 25V 0805 (2012 metric),AVX,08053A222JAT2A,,0805 (2012 metric),1,,478-3753-2-ND,581-08053A222J,,2.2nF,CAPC200125X125,,,CAP CER 2200PF 25V C0G/NP0 0805,,true,,true,+125°C,-55°C,,,true,,,true,50v,No,"{""fp_type"":""chip_cap"",""params"":{""L"":{""nom"":2000000,""long name"":""Length"",""min"":1800000,""max"":2200000,""short name"":""L"",""type"":""measurement""},""W"":{""nom"":1250000,""long name"":""Width"",""min"":1049999,""max"":1450000,""short name"":""W"",""type"":""measurement""},""t"":{""nom"":1250000,""long name"":""Height"",""min"":1049999,""max"":1450000,""short name"":""t"",""type"":""measurement""},""b"":{""nom"":false,""long name"":""Terminal width"",""min"":200000,""max"":700000,""short name"":""b"",""type"":""measurement""},""P"":{""default"":""false"",""long name"":""Polarized"",""type"":""multichoice"",""short name"":""P""},""offset x"":{""nom"":0,""long name"":""X Center offset"",""min"":null,""max"":null,""short name"":""offset x"",""type"":""measurement""},""offset y"":{""nom"":0,""long name"":""Y Center offset"",""min"":null,""max"":null,""short name"":""offset y"",""type"":""measurement""},""POL"":{""default"":""No"",""long name"":""Pin 1 polarity marker"",""type"":""multichoice"",""short name"":""POL""},""LS"":{""long name"":""Land shape"",""type"":""fixed"",""short name"":""LS"",""value"":""Rectangle""},""solder toe"":{""nom"":350000,""long name"":""Solder fillet (toe)"",""min"":null,""max"":null,""short name"":""solder toe"",""type"":""fixedmeasurement""},""solder heel"":{""nom"":-50000,""long name"":""Solder fillet (heel)"",""min"":null,""max"":null,""short name"":""solder heel"",""type"":""fixedmeasurement""},""solder side"":{""nom"":0,""long name"":""Solder fillet (side)"",""min"":null,""max"":null,""short name"":""solder side"",""type"":""fixedmeasurement""},""courtyard"":{""nom"":250000,""long name"":""Courtyard"",""min"":null,""max"":null,""short name"":""courtyard"",""type"":""fixedmeasurement""},""SF"":{""default"":""B (>= 1608 metric)"",""long name"":""Packing level"",""type"":""multichoiceparent"",""short name"":""SF"",""help"":""http://support.upverter.com/customer/portal/articles/978783-what-is-a-footprint-packing-level"",""children"":[""solder toe"",""solder heel"",""solder side"",""courtyard""]}}}",,,0.0.0.1,"{""fp_type"":""chip_cap"",""params"":{""L"":{""nom"":2000000,""long name"":""Length"",""min"":1800000,""max"":2200000,""short name"":""L"",""type"":""measurement""},""W"":{""nom"":1250000,""long name"":""Width"",""min"":1049999,""max"":1450000,""short name"":""W"",""type"":""measurement""},""t"":{""nom"":1250000,""long name"":""Height"",""min"":1049999,""max"":1450000,""short name"":""t"",""type"":""measurement""},""b"":{""nom"":false,""long name"":""Terminal width"",""min"":200000,""max"":700000,""short name"":""b"",""type"":""measurement""},""P"":{""default"":""false"",""long name"":""Polarized"",""type"":""multichoice"",""short name"":""P""},""offset x"":{""nom"":0,""long name"":""X Center offset"",""min"":null,""max"":null,""short name"":""offset x"",""type"":""measurement""},""offset y"":{""nom"":0,""long name"":""Y Center offset"",""min"":null,""max"":null,""short name"":""offset y"",""type"":""measurement""},""POL"":{""default"":""No"",""long name"":""Pin 1 polarity marker"",""type"":""multichoice"",""short name"":""POL""},""LS"":{""long name"":""Land shape"",""type"":""fixed"",""short name"":""LS"",""value"":""Rectangle""},""solder toe"":{""nom"":150000,""long name"":""Solder fillet (toe)"",""min"":null,""max"":null,""short name"":""solder toe"",""type"":""fixedmeasurement""},""solder heel"":{""nom"":-50000,""long name"":""Solder fillet (heel)"",""min"":null,""max"":null,""short name"":""solder heel"",""type"":""fixedmeasurement""},""solder side"":{""nom"":-50000,""long name"":""Solder fillet (side)"",""min"":null,""max"":null,""short name"":""solder side"",""type"":""fixedmeasurement""},""courtyard"":{""nom"":100000,""long name"":""Courtyard"",""min"":null,""max"":null,""short name"":""courtyard"",""type"":""fixedmeasurement""},""SF"":{""default"":""C (>= 1608 metric)"",""long name"":""Packing level"",""type"":""multichoiceparent"",""short name"":""SF"",""help"":""http://support.upverter.com/customer/portal/articles/978783-what-is-a-footprint-packing-level"",""children"":[""solder toe"",""solder heel"",""solder side"",""courtyard""]}}}",GRM21,5%,,Ceramic,Recommended_Land_Pattern,IPC_C,IPC_B,IPC_A,0,25V,,,passive,1.45mm,passive,0805 2.2nF Ceramic Multilayer Capacitor; 25 VDC; +125degC; C0G Dielectric; +/-5%,0,Passive Components,Ceramic Capacitors,Capacitors,"{""fp_type"":""chip_cap"",""params"":{""L"":{""nom"":2000000,""long name"":""Length"",""min"":1800000,""max"":2200000,""short name"":""L"",""type"":""measurement""},""W"":{""nom"":1250000,""long name"":""Width"",""min"":1049999,""max"":1450000,""short name"":""W"",""type"":""measurement""},""t"":{""nom"":1250000,""long name"":""Height"",""min"":1049999,""max"":1450000,""short name"":""t"",""type"":""measurement""},""b"":{""nom"":false,""long name"":""Terminal width"",""min"":200000,""max"":700000,""short name"":""b"",""type"":""measurement""},""P"":{""default"":""false"",""long name"":""Polarized"",""type"":""multichoice"",""short name"":""P""},""offset x"":{""nom"":0,""long name"":""X Center offset"",""min"":null,""max"":null,""short name"":""offset x"",""type"":""measurement""},""offset y"":{""nom"":0,""long name"":""Y Center offset"",""min"":null,""max"":null,""short name"":""offset y"",""type"":""measurement""},""POL"":{""default"":""No"",""long name"":""Pin 1 polarity marker"",""type"":""multichoice"",""short name"":""POL""},""LS"":{""long name"":""Land shape"",""type"":""fixed"",""short name"":""LS"",""value"":""Rectangle""},""solder toe"":{""nom"":550000,""long name"":""Solder fillet (toe)"",""min"":null,""max"":null,""short name"":""solder toe"",""type"":""fixedmeasurement""},""solder heel"":{""nom"":-50000,""long name"":""Solder fillet (heel)"",""min"":null,""max"":null,""short name"":""solder heel"",""type"":""fixedmeasurement""},""solder side"":{""nom"":50000,""long name"":""Solder fillet (side)"",""min"":null,""max"":null,""short name"":""solder side"",""type"":""fixedmeasurement""},""courtyard"":{""nom"":500000,""long name"":""Courtyard"",""min"":null,""max"":null,""short name"":""courtyard"",""type"":""fixedmeasurement""},""SF"":{""default"":""A (>= 1608 metric)"",""long name"":""Packing level"",""type"":""multichoiceparent"",""short name"":""SF"",""help"":""http://support.upverter.com/customer/portal/articles/978783-what-is-a-footprint-packing-level"",""children"":[""solder toe"",""solder heel"",""solder side"",""courtyard""]}}}",C0G,0mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6,Tantalum Surface Mount Capacitors,Kemet,T491A475K020AT,Digi-Key 399-8290-6-ND/Digi-Key 399-8290-1-ND/Digi-Key 399-8290-2-ND/Newark 57K1705/Newark 87H4386,1206 (3216 metric),1,Uncategorized,399-8290-1-ND,80-T491A475K020,,4.7µF,,,,CAP TANT 4.7UF 20V 10% 1206,Single Components,true,Capacitors,true,+125°C,-55°C,Passive Components,,true,octopart,,true,20V,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C7 C8 C9,"Solid Tantalum Surface Mount Chip Capacitors TANTAMOUNT™, Molded Case, Low ESR",Vishay,TR3D107K010C0050,,2917,3,,718-1464-1-ND,74-TR3D107K010C0050,,100.0µF,,,,CAP TANT 100UF 10V 10% 2917,,true,,true,+125°C,-55°C,,,true,,,true,10V,No,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,SURFACE MOUNT SILICON HIGH CURRENT SCHOTTKY DIODE,Central,CMDSH2-3 TR,,SOD-323,1,,CMDSH2-3 CT-ND,610-CMDSH2-3,,,,,,DIODE SCHOTTKY 30V 200MA SOD323,,true,,true,+150°C,-65°C,,,true,,,true,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.centralsemi.com/PDFs/case/SOD-323PD.PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,"SCHOTTKY BARRIER RECTIFIER 1.0 AMPERE, 40 VOLTS",ON Semi,MBRS140T3G,,SMB,1,,MBRS140T3GOSCT-ND,863-MBRS140T3G,,,,,,DIODE SCHOTTKY 40V 1A SMB,,true,,true,+125°C,-65°C,,,true,,,true,,No,,,,,,CASE 403A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1 J2,TERMINAL BLOCK 3.5MM 2POS PCB,On Shore Technology,OSTTE020104,,HDR2,2,,ED2740-ND,,,,,,,TERMINAL BLOCK 3.5MM 2POS PCB,,true,,true,+105°C,-30°C,,,true,,,true,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,47µH Shielded Wirewound Inductor 2.6A 86 mOhm Max Nonstandard,Bourns,SRR1260-470M,,SMT_INDUCTOR_12MM5_12MM5,1,,SRR1260-470MCT-ND,652-SRR1260-470M,,,,,,FIXED IND 47UH 2.6A 86 MOHM SMD,,true,,true,+125°C,-40°C,,,true,,,true,,No,,,,,,SRR1260,,,,,,,,,,,,,,,,,,,,,,,,,,,47µH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,RES SMD 10K OHM 5% 1W 2512,TE,1622820-3,,2512 (6332 metric),1,,A102497CT-ND,279-352010KJT,,,,,,RES SMD 10K OHM 5% 1W 2512,,true,,true,+125°C,-55°C,,,true,,,true,,No,,,,,,2512,,,,,,,,,,,,,,,,,,,,,,,,,,,,10kΩ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U1,LT-LTC1625-GN_S-16,Linear Technology,LTC1625CS#PBF,,S-16,1,,,,,,,,,,,true,,true,,,,,true,vault,,true,,,,,,,,,,,,,Level A,Level B,Level C,,,,,power,,output,,,,,,,,,,,,,,,yes,input,passive,http://www.linear.com/,Manufacturer URL,passive,power,90CB91F2-BFD2-48A5-8DA4-E228C1E86799,passive,1475420,E776DD2D-823F-4E95-ADB4-E71C5B8FD8D6,input,"Rev. G, 05/2012",1377848134,1,power,power,Package Specification,1521865042,input,"16-Pin Plastic Small Outline, Body 9.9 x 3.9 mm, Pitch 1.27 mm",power,input,input,output,Surface Mount,input,http://cds.linear.com/docs/en/packaging/S16%2005-08-1610%20Rev%20G.pdf,,,,,,,
U2 U3,N-Channel 30V (D-S)  MOSFET,Vishay,SI4410DY,,,2,,,,,,,,,,,,,,,,,,,Altium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SOIC, 8-Leads, Body 4.9x3.9mm, Pitch 1.27mm, IPC Medium Density",General,@DESIGNATOR %5 %4 %1 %1 @MODEL ,"SOIC, 8-Leads, Body 4.9x3.9mm, Pitch 1.27mm, IPC High Density",http://www.vishay.com/,"SOIC, 8-Leads, Body 4.9x3.9mm, Pitch 1.27mm, IPC Low Density",8-Pin Small Outline Integrated Circuit 1.27 mm Pitch
